Subject,Condition,Mean_Cadence,SD_Cadence,Mean_FSA,SD_FSA,Mean_LR,SD_LR,Note
LR_01,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_01,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_01,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_01,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_01,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_02,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_02,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_02,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_02,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_02,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_03,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_03,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_03,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_03,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_03,LOAD2,,,,,,,Could not process it due to technical issue during measurement
LR_04,BSL,,,,,,,Could not process it due to technical issue during measurement
LR_04,CAD,,,,,,,Could not process it due to technical issue during measurement
LR_04,FSA,,,,,,,Could not process it due to technical issue during measurement
LR_04,LOAD1,,,,,,,Could not process it due to technical issue during measurement
LR_13,BSL,166.2955534,3.105451913,14.26338593,5.319695669,66.20460416,5.013304744,
LR_13,CAD,185.8612231,18.60247172,8.46034564,5.739575038,64.23210398,9.587614964,
LR_13,FSA,165.989097,3.578551424,-6.752452749,4.875458506,34.99537996,9.474335575,
LR_13,LOAD1,164.998754,4.389207688,-9.977304589,4.887905397,31.32233909,6.5432144,
LR_13,LOAD2,170.5564336,7.393379183,-4.490087734,6.849158097,42.30007066,11.58718414,
LR_14,BSL,157.3790563,13.58303925,4.421307489,3.25081757,84.47414979,19.15961435,
LR_14,CAD,175.647403,5.56085915,-5.429686029,2.551523061,30.85234192,6.013670888,
LR_14,FSA,160.7341885,4.113377954,0.217147169,3.619572166,53.38360932,13.885308,
LR_14,LOAD1,167.2726243,4.905654015,0.527270426,1.847660244,41.12650827,9.21728871,
LR_14,LOAD2,175.4842815,7.162893007,-1.33449736,2.857007624,35.4530818,10.84145808,
LR_15,BSL,168.1693184,3.466438761,-1.658873431,6.888408141,72.37807274,15.13181344,
LR_15,CAD,187.772715,5.165275434,-1.675681766,3.064037443,53.34947848,8.896716963,
LR_15,FSA,166.0824529,3.670020196,-3.521267071,3.315569457,58.09047954,9.350775125,
LR_15,LOAD1,170.1601562,4.178312535,-0.753097123,6.461748163,65.35532206,12.64032094,
LR_15,LOAD2,184.6170763,7.225447957,-4.539282689,2.381464251,49.57056867,5.165932033,
LR_16,BSL,153.8832942,3.875941706,11.20924338,3.315671019,60.85665416,8.177255058,
LR_16,CAD,171.5656623,5.751877215,-2.78923088,2.258670329,32.06595624,6.30631191,
LR_16,FSA,162.9923886,4.156355769,-1.651649517,1.743580298,34.67376492,5.189485382,
LR_16,LOAD1,158.4525925,4.167888093,-1.620886457,3.620286332,30.5376632,8.003447047,
LR_16,LOAD2,167.2605139,4.525748525,-2.623906003,1.51648294,33.43876419,5.082480267,
LR_17,BSL,156.7947675,3.34116664,8.159013174,4.800907123,86.96186177,12.94572273,
LR_17,CAD,174.4930891,14.38540724,-4.56597588,3.985207443,45.96043923,8.086377082,
LR_17,FSA,164.5839426,3.580142753,-4.788311791,3.890856112,50.46314506,11.49133891,
LR_17,LOAD1,168.6105744,10.68401641,-8.550451646,5.063631396,39.70964766,10.8137504,
LR_17,LOAD2,164.9367444,11.71542191,-6.190121657,6.847607985,45.76825828,12.39481054,
LR_18,BSL,152.7047564,2.756873007,12.65011065,3.696444723,75.44658105,9.713940726,
LR_18,CAD,170.9114508,11.89790538,9.908823151,5.012428227,78.40367363,18.13032324,
LR_18,FSA,148.2224251,7.585143225,8.693901991,10.09643914,63.1314585,18.31117762,
LR_18,LOAD1,197.3231038,7.444745921,-12.08339725,2.387521343,25.86944359,5.440764582,
LR_18,LOAD2,192.8914673,10.28113206,-7.05997262,2.227371588,28.1545433,6.458911712,
LR_19,BSL,164.9097128,3.550842314,14.26017246,4.363815305,72.6620718,10.46345091,
LR_19,CAD,183.4989705,8.901980282,12.53623631,5.014681928,75.67489372,12.81154528,
LR_19,FSA,166.855783,3.882068018,-1.97027594,3.068870776,37.69317028,4.818203914,
LR_19,LOAD1,166.9742134,6.361045219,12.07163728,5.372371878,80.5090625,14.81777688,
LR_19,LOAD2,167.276172,4.260292608,-1.32187152,3.491011694,37.94828939,8.595288369,
LR_20,BSL,,,,,,,Excluded due to strange values 
LR_20,CAD,184.6918985,6.124583711,-1.176303037,3.104481514,33.89296004,7.652081663,
LR_20,FSA,162.9620974,3.654667972,-4.297502051,1.993134095,39.60541181,7.41642792,
LR_20,LOAD1,168.3916163,8.827929299,-2.78312496,2.863654653,38.94121104,7.297911087,
LR_20,LOAD2,193.4425726,9.973507967,-5.394013131,3.315721272,25.86142505,4.784818785,
LR_21,BSL,,,,,,,Excluded due to strange values 
LR_21,CAD,186.1158369,19.96032856,10.56578943,4.156115079,74.20691681,12.28729371,
